Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-VD-A8KB-01,0.09892217084784771,0,0.18504639972218087,0.002965984910808024,0.03473953027838866,0,0,0.05847263700431833,0,0,0.0034119311583306186,0.036728844842298235,0.03609368085538636,0,0.019547125692478778,0.5240716946879624,0,0,0,0,0,0,0.25,0.056505164606420716,1.075773993934081
TCGA-VD-A8KD-01,0.020366596729790857,0,0.11199927836020279,0.28979846802907905,0,0,0,0.036837569778391754,0.09587740145026964,0,0,0.0018524468382091176,0,0.17096523685337808,0.0671345967253867,0.20213578776062066,0,0,0.0030326174746713023,0,0,0,0.03,0.1644959665931016,1.0252620656789342
TCGA-VD-A8KE-01,0.1132471462258,0,0.05741980921153715,0.020031919917503506,0,0.03862527012186933,0,0.03653843989620232,0.03406027001993456,0,0.023614133062511103,0.038468192364141736,0.03175239074063227,0.0555800204418605,0.007519424844485204,0.4958353387691521,0,0,0.047307644384370254,0,0,0,0.41,0.03787674441205895,1.088780072054867
TCGA-VD-A8KF-01,0,0.005432697935416708,0.03683970654618199,0.1668189417345783,0,0.3865086695270631,0,0.05465530292683432,0.09243499934173649,0,0.0421762484029876,0,0.07894793213951475,0.020795198323086468,0,0.06361187622865881,0,0.005811165104005614,0.03858586814899309,0,0.007381393640942831,0,0.95,-0.025,1.1388407359351564
TCGA-VD-A8KG-01,0.04398558493823561,0,0.06867595478968368,0.15843957835176964,0,0.0257822771942415,0,0.0022184360332430154,0.04894634849455058,0,0.0490551655077919,0.029108211329889555,0.13958785551347155,0,0.013673446134303918,0.384594471810993,0,0,0.03593266990182608,0,0,0,0.54,0.019226642664374512,1.0825240108194425
TCGA-VD-A8KH-01,0,0.03413247224524525,0.1255144239635825,0,0,0.036715318288747224,0,0.0487546164419093,0.07379072639544436,0,0.14549976340590406,0,0.05698197057065856,0.3539789621887932,0,0.002728655158143498,0.0012556057129709587,0,0.09826525667993348,0,0.022382228948667596,0,0.21,0.0682927655592982,1.068479452909604
TCGA-VD-A8KI-01,0.008930985467436566,0,0.038590374457644364,0.043218392521056165,0.04319561031731501,0,0,0.03577479233745832,0.021553640269887635,0.05217325301460794,0,0,0,0.1477739613039537,0.024110809832568993,0.37373371528412286,0.0043064287385419795,0,0.2066380364554066,0,0,0,0.05,0.11334443756849445,1.0564863200769539
TCGA-VD-A8KJ-01,0.06711384625410084,0,0.042872539436722756,0,0,0.14948397643364697,0,0.03816008522581511,0,0,0.050457394946304884,0,0.041900372912038436,0.05982218448240548,0,0.48250717724658765,0,0,0.06768242306237786,0,0,0,0.1,0.09063112493230882,1.0638693001119899
TCGA-VD-A8KK-01,0.07913698173828594,0,0.13966395700815823,0.24842687144579945,0,0.028106863583090322,0,0.05212690720892324,0.06409288607033717,0,0.034592015057174144,0.01251570648195518,0.026755253854037056,0.007226483668953574,0.01429348017563542,0.275613929808216,0,0,0.017448663899434277,0,0,0,0.61,0.008705928003290933,1.077439407456578
TCGA-VD-A8KL-01,0.038208480067952924,0,0,0,0,0.10948515221886337,0.007719421090690594,0.02341610923748551,0.011794465760126242,0,0.03487356467360092,0.007900862614837955,0,0.14121464022481314,0.06768071460643077,0.39222169099889903,0.014447419875448543,0,0.1425853206658654,0,0.00845215796498556,0,0.29,0.05043637580430605,1.085561099110831
TCGA-VD-A8KM-01,0.007802236439062728,0.11407383370344233,0.09602475749690305,0.3035200619902572,0,0,0,0.05235720871582411,0.08475472620478118,0,0.0026699657972389175,0.001692114882184644,0,0.09795152999027432,0.03018886975285977,0.1995880058593484,0,0,0.009376689167823289,0,0,0,0,0.26303943822198733,0.9784045633096773
TCGA-VD-A8KN-01,0.0014233562599342822,0,0.02969480380191821,0.08555956367442884,0,0,0,0.061441961008505935,0.012166716368657245,0.024668332394594473,0,0.0507529351230382,0.036242631353422254,0,0.028650884913266825,0.498593967075453,0.002777240424299757,0,0.16802760760248092,0,0,0,0.17,0.07977038746535171,1.0716088764592795
TCGA-VD-A8KO-01,0.15004977094089353,0,0.17096118882360822,0,0,0.04683212852066004,0,0.04279758965730164,0,0,0,0.04169096466121347,0,0,0,0.5089231081532147,0,0.0013004071068029538,0.037444842136305355,0,0,0,0.73,-0.0061,1.0979518246696287
TCGA-VD-AA8M-01,0.16800836090786675,0,0.10737302793740425,0.07389986290191215,0,0.005991327370211053,0,0.031190486088285077,0.027776746827328596,0,0.009611767309531428,0.026505832549927416,0.007506510814406015,0.002700450473056214,0.007799577595291985,0.4927802416304369,0,0,0.038855807594342213,0,0,0,0.21,0.06763094884074497,1.06747493980774
TCGA-VD-AA8N-01,0.004146190295648521,0,0.022728292845893415,0.20435372638054483,0,0,0,0.0280485290945821,0.04466136196342251,0,0,0.026734969412511442,0.02813890642999181,0.03635265979695192,0.08017939814652182,0.3654221352205171,0.012319344928255998,0,0.14691448548515848,0,0,0,0.11,0.0880064211243913,1.0569497228204014
TCGA-VD-AA8O-01,0,0,0.13967756649482463,0.3471674407362651,0,0.04521212404256187,0,0.014866308126980452,0.020949289258037303,0,0.0010078973164951664,0,0,0.058215735146490276,0.013038367248263403,0.3598652716300818,0,0,0,0,0,0,0.47,0.02804398869166807,1.0870945145684785
TCGA-VD-AA8P-01,0,0.0054346367613573995,0.01701634564772036,0,0.039908379246549844,0.16139865343788545,0,0,0.09394735050481687,0,0.08313957977694754,0,0.06724668227569261,0.09964139270726573,0.0013710166794904332,0.17307440946676633,0,0,0.24458246790158522,0,0.013239085593922183,0,0.48,0.025549607177881982,1.0764236184335085
TCGA-VD-AA8Q-01,0,0.01112892541449974,0.005166156112578082,0.043313426952349895,0,0.21956886531758835,0,0.04131576234170721,0.06822349765141908,0,0,0.014039695344538675,0.039230224203449245,0.09775162829887936,0.005932333618184288,0.3152503844234396,0,0,0.13718221375876893,0,0.0018968865625975588,0,0.03,0.11919166680231622,1.0423851221670628
TCGA-VD-AA8R-01,0.06896873144490336,0,0.1487283683979628,0,0,0.162607461262584,0,0.0800043746694999,0,0,0,0.08274047469087782,0.039546189419209656,0,0,0.3256401502150131,0,0,0.09176424989994941,0,0,0,0.46,0.029149237619424746,1.0609376931368646
TCGA-VD-AA8S-01,0,0.005563074162026148,0.007233749476682793,0,0,0.2261908646794724,0,0.021290253286573975,0.08553723611115108,0,0.08228828554256444,0.017525175905939418,0,0.12131141287033284,0.016684374463651095,0.20951871481324796,0.001821642634112524,0,0.20333573736767754,0,0.0016994786865677871,0,0.29,0.05146342032627671,1.0695601253559146
